should have,47
talked to,47
that we,47
the hell,47
think he,47
up and,47
whats up,47
I had,46
I want,46
did it,46
got the,46
hi hi,46
in that,46
no ,,46
not to,46
pretty much,46
so ,,46
today ?,46
we need,46
" do,45
? good,45
Click here,45
and they,45
at my,45
because I,45
could be,45
hang out,45
i said,45
lem me,45
lol i,45
the text,45
this morning,45
was in,45
as i,44
if we,44
me the,44
ok I,44
over the,44
r u,44
screen name,44
take it,44
talk about,44
they do,44
this shit,44
to bed,44
to buy,44
to your,44
up in,44
who is,44
work with,44
you a,44
's my,43
, then,43
, we,43
I ca,43
I would,43
as long,43
be able,43
but not,43
figure out,43
get back,43
good idea,43
have it,43
how 's,43
how long,43
it ,,43
needs to,43
ok so,43
out ",43
pretty good,43
so it,43
to give,43
told him,43
want a,43
wha ?,43
when we,43
why ?,43
work on,43
" right,42
's in,42
's your,42
, or,42
again ?,42
at a,42
at work,42
get my,42
has been,42
i might,42
is there,42
look like,42
my friend,42
n't like,42
night ?,42
of course,42
out the,42
part of,42
talking to,42
" in,41
'm on,41
's pretty,41
) is,41
I could,41
better than,41
doing ?,41
hard to,41
if I,41
is in,41
most of,41
my head,41
of you,41
that ",41
the shit,41
time for,41
to her,41
what time,41
when I,41
who 's,41
you would,41
( Edgwired,40
) in,40
Edgwired ),40
Your screen,40
down to,40
each other,40
going ?,40
i still,40
it has,40
just want,40
more information.,40
name (,40
ok ?,40
such a,40
thank you,40
that one,40
to it,40
what about,40
" k,39
( R,39
( TM,39
) Instant,39
- *,39
AOL (,39
Instant Messenger,39
Messenger (,39
R ),39
TM ),39
about to,39
and my,39
and see,39
at home,39
back in,39
does it,39
give me,39
in 2,39
into AOL,39
is to,39
it a,39
its a,39
me ",39
now signed,39
on that,39
on this,39
or so,39
see it,39
signed into,39
to meet,39
we could,39
working on,39
would you,39
" nah,38
" they,38
" we,38
's that,38
, if,38
2 locations.,38
? they,38
? we,38
a movie,38
a year,38
all that,38
go ?,38
good to,38
guess i,38
instead of,38
looks like,38
my friends,38
of your,38
sure you,38
the party,38
then you,38
to hear,38
yeah that,38
yes ?,38
you had,38
you on,38
" how,37
" http,37
? do,37
? ha,37
an hour,37
brb k,37
could have,37
i wish,37
in your,37
know ?,37
make sure,37
me ,,37
oh yes,37
sure i,37
the house,37
the point,37
think I,37
think about,37
this ?,37
to look,37
tried to,37
up i,37
when it,37
with your,37
yeah ",37
'll catch,36
, he,36
? a,36
? eh,36
I said,36
a big,36
a minute,36
and get,36
could n't,36
eh i,36
fucked up,36
go back,36
i hate,36
in this,36
it might,36
me in,36
n't see,36
no ?,36
now ",36
oh ok,36
on ?,36
say that,36
the fuck,36
the next,36
think we,36
to try,36
too i,36
up on,36
with her,36
yeah it,36
you the,36
" ?,35
'm getting,35
's been,35
's got,35
: -D,35
? but,35
? in,35
a fucking,35
a month,35
a way,35
because it,35
but if,35
for your,35
i never,35
is just,35
it works,35
maybe i,35
much i,35
my dad,35
na be,35
not really,35
oh ,,35
rest of,35
see how,35
something to,35
than the,35
that way,35
think the,35
to keep,35
use it,35
what I,35
you 'd,35
, just,34
? for,34
? how,34
a couple,34
a nice,34
all this,34
but then,34
but we,34
come to,34
he wants,34
how you,34
it but,34
just wanted,34
me that,34
much better,34
n't do,34
n't you,34
no worries,34
one i,34
over to,34
ready to,34
to leave,34
to watch,34
u are,34
up ",34
was thinking,34
were you,34
when are,34
where ?,34
where do,34
" :,33
's good,33
've never,33
: 30,33
; -,33
a friend,33
blah blah,33
did i,33
end up,33
for some,33
him ?,33
huh ?,33
it should,33
just do,33
k I,33
me up,33
my house,33
my own,33
nah ,,33
not bad,33
oh my,33
one is,33
one that,33
or the,33
out to,33
so we,33
the ",33
them to,33
then we,33
thought you,33
what else,33
what we,33
y ?,33
'll get,32
'll talk,32
're not,32
? http,32
I love,32
as the,32
at ?,32
before i,32
cause i,32
go with,32
going out,32
he did,32
i wanted,32
if that,32
is so,32
just the,32
like you,32
my room,32
next to,32
of those,32
oh no,32
pick up,32
really ?,32
the second,32
think they,32
want me,32
we do,32
what he,32
why not,32
" is,31
" lol,31
" this,31
'd like,31
'll call,31
'm so,31
's cool,31
, no,31
I see,31
about a,31
about this,31
and have,31
as it,31
did u,31
ha ",31
having a,31
he 'll,31
how about,31
how many,31
is on,31
it with,31
n't really,31
oh well,31
one ?,31
out for,31
out i,31
sleep well,31
ta go,31
thing is,31
this point,31
to stay,31
u have,31
was your,31
what it,31
will you,31
you guys,31
! I,30
" because,30
" when,30
, they,30
? lol,30
? she,30
LOL i,30
a party,30
are a,30
are the,30
at your,30
do ?,30
do the,30
find a,30
get into,30
home ?,30
i go,30
is he,30
it at,30
it the,30
just to,30
know the,30
live in,30
lol ",30
man i,30
no one,30
now ,,30
of us,30
said ",30
that she,30
thing i,30
this one,30
to help,30
to live,30
to send,30
up a,30
up at,30
we 've,30
weekend ?,30
were going,30
when they,30
which i,30
wonder if,30
yet ?,30
yup i,30
'm thinking,29
's on,29
's really,29
) i,29
? LOL,29
? did,29
? ok,29
I 've,29
I feel,29
a job,29
and if,29
at penn,29
be fun,29
deal with,29
find out,29
from a,29
fuck it,29
get some,29
give you,29
ha you,29
her to,29
how it,29
is pretty,29
it I,29
it ok,29
it so,29
like ",29
locations. Click,29
looking at,29
my list,29
oh man,29
said that,29
send it,29
so that,29
tell her,29
that much,29
that they,29
the night,29
them ?,29
to figure,29
to run,29
tomorrow ?,29
up for,29
where is,29
who knows,29
with this,29
worry about,29
you ca,29
your own,29
" LOL,28
" at,28
" just,28
" my,28
" or,28
" she,28
" yup,28
's an,28
? right,28
a very,28
and not,28
as you,28
but she,28
but they,28
can i,28
come up,28
coming to,28
do what,28
do with,28
done with,28
for this,28
have some,28
how i,28
i work,28
in it,28
information. Your,28
into a,28
is good,28
is like,28
is what,28
it it,28
it really,28
k k,28
know when,28
my love,28
n't worry,28
not so,28
office ?,28
out on,28
pay for,28
put the,28
see that,28
someone else,28
the most,28
the weekend,28
the world,28
then I,28
to show,28
to start,28
to think,28
well I,28
you feel,28
" for,27
" heh,27
" which,27
's so,27
, what,27
? nothing,27
? so,27
I thought,27
I told,27
a bad,27
a different,27
all my,27
all over,27
at it,27
be back,27
check it,27
day ?,27
doin ?,27
dont know,27
eh ?,27
enough to,27
good luck,27
hang on,27
if she,27
into it,27
is coming,27
its not,27
know ",27
know you,27
let you,27
like this,27
love to,27
makes me,27
maybe not,27
me on,27
now that,27
out how,27
said he,27
the idea,27
the menu,27
the people,27
the right,27
the website,27
there was,27
think of,27
to change,27
to hang,27
to pay,27
to that,27
what to,27
when he,27
wish i,27
work for,27
you ,,27
you been,27
you for,27
you what,27
" hey,26
" there,26
'm still,26
? this,26
I dont,26
and all,26
and just,26
away from,26
can be,26
can see,26
for what,26
have one,26
here ?,26
i called,26
i found,26
i made,26
it comes,26
love it,26
my phone,26
not at,26
not even,26
over and,26
party ?,26
right and,26
she said,26
shit i,26
shit is,26
should i,26
still have,26
the email,26
the top,26
them ",26
then ?,26
time ",26
to sleep,26
too ",26
was that,26
what happened,26
what they,26
work out,26
would like,26
yeah you,26
yes ,,26
you all,26
" good,25
, do,25
, my,25
? are,25
I mean,25
a question,25
and shit,25
are not,25
as far,25
be there,25
cool i,25
depends on,25
doing it,25
enjoy your,25
get in,25
get out,25
have fun,25
heh i,25
hey hi,25
him a,25
him and,25
i heard,25
i took,25
i used,25
in philly,25
is all,25
just have,25
know ,,25
last time,25
may be,25
more of,25
my ass,25
my computer,25
n't going,25
n't make,25
n't say,25
n't work,25
of me,25
off to,25
other day,25
over it,25
really i,25
send you,25
she does,25
should n't,25
show you,25
sorry i,25
that if,25
the ass,25
the program,25
there a,25
though i,25
thought it,25
through the,25
time you,25
to pick,25
today i,25
we had,25
werd i,25
what u,25
what was,25
who ?,25
with ?,25
you still,25
your house,25
" um,24
'd have,24
'm off,24
's fine,24
've seen,24
am not,24
be done,24
be here,24
be ok,24
be on,24
because of,24
far as,24
for now,24
get that,24
got my,24
here and,24
him i,24
hold on,24
house ?,24
i hear,24
in bed,24
in fact,24
it 'll,24
it again,24
it did,24
it from,24
it if,24
it looks,24
kinds of,24
make the,24
n't go,24
no problem,24
of what,24
only thing,24
out and,24
really do,24
really want,24
send me,24
she had,24
so he,24
something like,24
than i,24
that ,,24
that and,24
the entire,24
the guy,24
them in,24
to bring,24
to eat,24
to them,24
to wait,24
up my,24
use the,24
was so,24
we will,24
well ",24
why do,24
with them,24
you that,24
you work,24
! and,23
" as,23
" then,23
" with,23
'd be,23
'll go,23
'll just,23
'm trying,23
, right,23
, which,23
? yea,23
I dunno,23
a copy,23
a day,23
a half,23
could get,23
dont think,23
either way,23
even if,23
for him,23
friends are,23
he got,23
here ",23
i understand,23
in jersey,23
in terms,23
is better,23
it go,23
know I,23
know but,23
know it,23
know where,23
maybe a,23
me about,23
me for,23
me if,23
much of,23
my life,23
n't care,23
on me,23
out in,23
see him,23
set up,23
she has,23
so far,23
terms of,23
that but,23
that for,23
the list,23
the money,23
the number,23
think she,23
to ask,23
to check,23
waiting for,23
well you,23
were n't,23
will do,23
with his,23
you ever,23
you said,23
your phone,23
$ $,22
'll do,22
'll probably,22
'm glad,22
, not,22
> >,22
? is,22
? maybe,22
? u,22
? very,22
I went,22
a long,22
ai n't,22
and do,22
and now,22
and said,22
and what,22
anyway i,22
are they,22
at me,22
back from,22
be around,22
because you,22
been a,22
do anything,22
does that,22
down the,22
enjoy the,22
fun i,22
got back,22
have an,22
him ",22
i also,22
i figured,22
is i,22
it as,22
it down,22
it just,22
it you,22
just like,22
k ",22
like what,22
mean ?,22
might have,22
must have,22
n't tell,22
no but,22
not too,22
of people,22
ok thanks,22
ok well,22
ok what,22
one ",22
one for,22
or a,22
or not,22
right ",22
right that,22
she wants,22
show up,22
take care,22
that are,22
that makes,22
the fact,22
the fucking,22
the moment,22
the movie,22
under the,22
want it,22
way i,22
we got,22
we just,22
what happens,22
where did,22
while i,22
you find,22
you when,22
you will,22
! you,21
'd say,21
'm saying,21
) :,21
, how,21
, this,21
? have,21
? who,21
D :,21
a date,21
all kinds,21
am so,21
an email,21
and his,21
any of,21
are we,21
are ya,21
